"","Quarter_number","Vaccine","IMD_half","uptake","Denom","NumGP","SE","LCI","UCI"
"1",1,"MMR1 2y",1,92.2719291737765,80874,3439,0.000939000633643802,92.0878850495823,92.4559732979707
"2",1,"MMR1 2y",2,88.7041613619911,80118,3401,0.00111832024587191,88.4849705938002,88.923352130182
"3",1,"MMR1 5y",1,95.5324867921031,86312,3439,0.000703190304324199,95.3946614924555,95.6703120917506
"4",1,"MMR1 5y",2,94.437069813176,81360,3401,0.000803558661298072,94.2795723155616,94.5945673107904
"5",1,"MMR2 5y",1,88.7084067105385,86312,3439,0.00107726962099937,88.4972618648226,88.9195515562544
"6",1,"MMR2 5y",2,85.0196656833825,81360,3401,0.00125116613030586,84.7744371218426,85.2648942449224
"7",2,"MMR1 2y",1,91.9853028327605,84370,3431,0.000934778586795247,91.8020862297486,92.1685194357723
"8",2,"MMR1 2y",2,88.7438245643134,84407,3376,0.0010878656527035,88.5306028963835,88.9570462322433
"9",2,"MMR1 5y",1,95.5069175675075,89916,3431,0.000690829887476861,95.371514909562,95.6423202254529
"10",2,"MMR1 5y",2,94.2891143101416,86554,3376,0.000788749215400665,94.1345194639231,94.4437091563602
"11",2,"MMR2 5y",1,88.807331286979,89916,3431,0.00105141155386322,88.6012546224218,89.0134079515362
"12",2,"MMR2 5y",2,84.7551817362571,86554,3376,0.00122180158411103,84.5157086257714,84.9946548467429
"13",3,"MMR1 2y",1,92.5835940855267,81495,3390,0.000917906154461433,92.4036844792523,92.7635036918012
"14",3,"MMR1 2y",2,88.8320599175631,79576,3348,0.0011165555938184,88.6132150211747,89.0509048139515
"15",3,"MMR1 5y",1,95.0155978404761,86871,3390,0.000738357311817278,94.8708798073599,95.1603158735923
"16",3,"MMR1 5y",2,94.0205761814379,82717,3348,0.000824410919057497,93.8589916413026,94.1821607215732
"17",3,"MMR2 5y",1,89.5223952757537,86871,3390,0.00103910501680807,89.3187306924593,89.7260598590481
"18",3,"MMR2 5y",2,85.0538583362549,82717,3348,0.00123969305847899,84.8108784967931,85.2968381757168
"19",4,"MMR1 2y",1,92.782189819034,76810,3393,0.000933740411020479,92.599176698474,92.965202939594
"20",4,"MMR1 2y",2,89.2121568994821,74723,3340,0.00113488584847589,88.9897192731808,89.4345945257834
"21",4,"MMR1 5y",1,95.6348873693161,83503,3393,0.000707057711245616,95.4963040579119,95.7734706807202
"22",4,"MMR1 5y",2,94.0869959220662,79452,3340,0.000836789984364953,93.9229850851306,94.2510067590017
"23",4,"MMR2 5y",1,89.4458881716825,83503,3393,0.0010632612753476,89.2374889617143,89.6542873816506
"24",4,"MMR2 5y",2,85.1419725117052,79452,3340,0.00126182757956105,84.8946543061112,85.3892907172991
"25",5,"MMR1 2y",1,93.2206174103137,79137,3358,0.000893637259491493,93.0454645074534,93.3957703131741
"26",5,"MMR1 2y",2,89.2601370164601,77217,3298,0.00111422188053752,89.0417495278747,89.4785245050455
"27",5,"MMR1 5y",1,95.7996620417735,86993,3358,0.000680114371507846,95.6663596249579,95.932964458589
"28",5,"MMR1 5y",2,94.1693671660043,81775,3298,0.000819412144836602,94.0087623856163,94.3299719463922
"29",5,"MMR2 5y",1,89.8784959709402,86993,3358,0.00102260584404856,89.6780652255067,90.0789267163737
"30",5,"MMR2 5y",2,84.8193213084684,81775,3298,0.00125482370460776,84.5733758623652,85.0652667545715
"31",6,"MMR1 2y",1,93.0484399660071,82370,3355,0.000886157982531874,92.8747530014308,93.2221269305833
"32",6,"MMR1 2y",2,88.6751904572181,82827,3286,0.00110110960924294,88.4593729738064,88.8910079406297
"33",6,"MMR1 5y",1,95.6306695700701,91387,3355,0.000676182353340554,95.4981378288154,95.7632013113249
"34",6,"MMR1 5y",2,93.8306948954998,88373,3286,0.000809339602328675,93.6720643334433,93.9893254575562
"35",6,"MMR2 5y",1,89.651701007802,91387,3355,0.00100756144542064,89.4542189644995,89.8491830511044
"36",6,"MMR2 5y",2,84.2191619612325,88373,3286,0.00122633942376426,83.9787994341747,84.4595244882903
"37",7,"MMR1 2y",1,92.8780339575341,78981,3337,0.000915156022486833,92.6986633771267,93.0574045379415
"38",7,"MMR1 2y",2,88.2384929112449,77235,3275,0.00115918686878853,88.0112922849624,88.4656935375275
"39",7,"MMR1 5y",1,95.6967977483638,88469,3337,0.000682258606432234,95.5630750615031,95.8305204352246
"40",7,"MMR1 5y",2,93.5123230961779,83096,3275,0.000854454557144819,93.3448500029775,93.6797961893783
"41",7,"MMR2 5y",1,90.0518825803389,88469,3337,0.00100628567516497,89.8546505880065,90.2491145726712
"42",7,"MMR2 5y",2,84.3975642630211,83096,3275,0.00125884163515867,84.15083130253,84.6442972235122
"43",8,"MMR1 2y",1,92.3824213887536,73908,3327,0.000975792369858819,92.1911660842613,92.5736766932459
"44",8,"MMR1 2y",2,87.0028486906979,73016,3253,0.00124446247343085,86.7589340459055,87.2467633354904
"45",8,"MMR1 5y",1,95.7870611029724,84644,3327,0.000690474930835861,95.6517280165286,95.9223941894163
"46",8,"MMR1 5y",2,93.6247631714325,79699,3253,0.000865400399358998,93.4551446931581,93.7943816497069
"47",8,"MMR2 5y",1,90.1221586881527,84644,3327,0.00102553084233497,89.9211546430551,90.3231627332504
"48",8,"MMR2 5y",2,83.8893838065722,79699,3253,0.00130221634392295,83.6341494031633,84.1446182099811
"49",9,"MMR1 2y",1,92.1353302952352,76583,3297,0.000972718453729985,91.9446774783042,92.3259831121663
"50",9,"MMR1 2y",2,86.6236272878536,75125,3222,0.0012419242888123,86.3802101272464,86.8670444484608
"51",9,"MMR1 5y",1,95.6847900100407,86647,3297,0.000690312370376064,95.549488785447,95.8200912346344
"52",9,"MMR1 5y",2,93.4741721372147,82411,3222,0.000860341809684382,93.3055451425166,93.6427991319128
"53",9,"MMR2 5y",1,89.8715477743026,86647,3297,0.00102495756979276,89.6706560906232,90.072439457982
"54",9,"MMR2 5y",2,83.8456031355038,82411,3222,0.00128201447435883,83.5943282985294,84.0968779724781
"55",10,"MMR1 2y",1,91.8576765789872,79228,3260,0.000971611298012397,91.6672407645768,92.0481123933976
"56",10,"MMR1 2y",2,86.1311117465104,76942,3166,0.00124600307877876,85.8868951430697,86.375328349951
"57",10,"MMR1 5y",1,95.356726865621,88429,3260,0.000707604239756279,95.2180364346288,95.4954172966132
"58",10,"MMR1 5y",2,92.8408026835137,84367,3166,0.000887595938472336,92.6668338795731,93.0147714874543
"59",10,"MMR2 5y",1,89.3021520089563,88429,3260,0.00103939785614702,89.0984300291515,89.5058739887612
"60",10,"MMR2 5y",2,82.8179264404329,84367,3166,0.00129871441248318,82.5633784155862,83.0724744652796
"61",11,"MMR1 2y",1,92.1855322984742,75437,3243,0.000977212198592219,91.9939987075501,92.3770658893983
"62",11,"MMR1 2y",2,86.5014553686934,74208,3185,0.00125438201085217,86.2555964945664,86.7473142428204
"63",11,"MMR1 5y",1,95.3789850164569,84159,3243,0.000723676972286923,95.2371443298887,95.5208257030252
"64",11,"MMR1 5y",2,92.5929118538039,81206,3185,0.000919006468134947,92.4127865860495,92.7730371215584
"65",11,"MMR2 5y",1,89.4556731900332,84159,3243,0.00105867605385889,89.2481726834768,89.6631736965895
"66",11,"MMR2 5y",2,82.9322956431791,81206,3185,0.00132024745799095,82.6735271414128,83.1910641449453
"67",12,"MMR1 2y",1,92.8783587759895,72385,3233,0.000955923244873683,92.6909978199943,93.0657197319847
"68",12,"MMR1 2y",2,87.5976685350069,71543,3168,0.00123229409393726,87.3561388925952,87.8391981774186
"69",12,"MMR1 5y",1,95.5003349626579,80606,3233,0.000730144561998303,95.3572266285062,95.6434432968095
"70",12,"MMR1 5y",2,92.6597948757544,77709,3168,0.000935543757789078,92.4764282992278,92.8431614522811
"71",12,"MMR2 5y",1,89.9858571322234,80606,3233,0.00105732946560689,89.7786205569645,90.1930937074824
"72",12,"MMR2 5y",2,83.3069528626028,77709,3168,0.001337743269051,83.0447551818688,83.5691505433368
"73",13,"MMR1 2y",1,92.6468202465931,73968,3242,0.000959689874136024,92.4587210312625,92.8349194619238
"74",13,"MMR1 2y",2,87.9161954152989,72502,3158,0.00121049025092339,87.6789393261179,88.1534515044799
"75",13,"MMR1 5y",1,94.8666099049241,84564,3242,0.000758867696153347,94.717871836478,95.0153479733701
"76",13,"MMR1 5y",2,92.147012490852,80619,3158,0.000947413087275234,91.9613195257461,92.332705455958
"77",13,"MMR2 5y",1,88.7174211248285,84564,3242,0.00108796740655199,88.5041795131443,88.9306627365127
"78",13,"MMR2 5y",2,81.6284002530421,80619,3158,0.00136387769447584,81.3610802249248,81.8957202811594
"79",15,"MMR1 2y",1,91.8630303850579,73885,3242,0.00100582770121208,91.6658881556203,92.0601726144954
"80",15,"MMR1 2y",2,87.2730013842633,72963,3138,0.00123381945276316,87.0311727715217,87.5148299970049
"81",15,"MMR1 5y",1,95.0174562437863,86502,3242,0.000739799759867176,94.8724554908523,95.1624569967202
"82",15,"MMR1 5y",2,92.0520302685593,80876,3138,0.000951119216424025,91.8656109021401,92.2384496349784
"83",15,"MMR2 5y",1,89.2488034958729,86502,3242,0.00105321376547649,89.0423735978395,89.4552333939063
"84",15,"MMR2 5y",2,82.57703150502,80876,3138,0.00133376979255763,82.3156126256787,82.8384503843613
"85",16,"MMR1 2y",1,92.4862088643713,73598,3225,0.000971706351995166,92.2957544193803,92.6766633093624
"86",16,"MMR1 2y",2,87.5586034186541,68682,3129,0.00125939659057125,87.3117616869021,87.8054451504061
"87",16,"MMR1 5y",1,94.9746330410797,81208,3225,0.000766634385789605,94.8243727014649,95.1248933806945
"88",16,"MMR1 5y",2,91.7144127881119,76446,3129,0.000997018136028816,91.5189972334502,91.9098283427735
"89",16,"MMR2 5y",1,89.3015466456507,81208,3225,0.00108465240033317,89.0889547751854,89.514138516116
"90",16,"MMR2 5y",2,82.3391675169401,76446,3129,0.00137921330619891,82.0688417089251,82.6094933249551
"91",17,"MMR1 2y",1,92.4905611248535,76810,3220,0.000950919093905811,92.304180982448,92.6769412672591
"92",17,"MMR1 2y",2,87.4284699744609,73221,3101,0.00122518784523133,87.1883331567955,87.6686067921262
"93",17,"MMR1 5y",1,94.8656469615544,84665,3220,0.000758482200966806,94.7169844501649,95.0143094729439
"94",17,"MMR1 5y",2,91.4501712999836,79101,3101,0.000994214245189642,91.2553053079264,91.6450372920407
"95",17,"MMR2 5y",1,88.2666981633497,84665,3220,0.00110600376564582,88.0499214252831,88.4834749014163
"96",17,"MMR2 5y",2,81.0811494165687,79101,3101,0.00139256775556885,80.8082061364772,81.3540926966602
"97",18,"MMR1 2y",1,91.8615517178607,82399,3208,0.000952525743622879,91.6748566721106,92.0482467636107
"98",18,"MMR1 2y",2,87.7176113360324,79040,3088,0.00116751199348841,87.4887789853087,87.9464436867561
"99",18,"MMR1 5y",1,94.80902436486,86477,3208,0.000754395391126909,94.6611628681991,94.9568858615209
"100",18,"MMR1 5y",2,91.2032172747364,82803,3088,0.000984337376504367,91.0102871489416,91.3961474005313
"101",18,"MMR2 5y",1,88.2269273910982,86477,3208,0.00109596120472508,88.0121189949721,88.4417357872243
"102",18,"MMR2 5y",2,81.138364552009,82803,3088,0.00135950172283595,80.8719022143331,81.4048268896848
"103",19,"MMR1 2y",1,91.7910070304992,79084,3196,0.000976114345369128,91.5996886188069,91.9823254421916
"104",19,"MMR1 2y",2,86.7222251295201,76436,3074,0.00122737954364717,86.4816587389653,86.962791520075
"105",19,"MMR1 5y",1,94.8791284430889,84263,3196,0.000759344455422163,94.7302969298262,95.0279599563517
"106",19,"MMR1 5y",2,91.0396181146899,80443,3074,0.00100701130027706,90.8422438998356,91.2369923295442
"107",19,"MMR2 5y",1,88.8124087677866,84263,3196,0.00108589206836501,88.599573922387,89.0252436131861
"108",19,"MMR2 5y",2,81.5161045709384,80443,3074,0.00136859305251527,81.2478603326454,81.7843488092314
"109",20,"MMR1 2y",1,91.9223946475214,71593,3188,0.0010183960346798,91.7227890247242,92.1220002703187
"110",20,"MMR1 2y",2,86.4171613674596,71929,3070,0.00127744807906484,86.1667815439629,86.6675411909563
"111",20,"MMR1 5y",1,94.8070015682704,79068,3188,0.000789094333414668,94.6523390789211,94.9616640576196
"112",20,"MMR1 5y",2,90.6378466130764,76382,3070,0.00105401587654345,90.4312595012739,90.8444337248789
"113",20,"MMR2 5y",1,89.185258258714,79068,3188,0.00110447079560716,88.968781982775,89.401734534653
"114",20,"MMR2 5y",2,81.8569820114687,76382,3070,0.00139439917438584,81.583679773289,82.1302842496483
"115",21,"MMR1 2y",1,92.463030469771,72695,3174,0.0009791070348879,92.2711254909329,92.654935448609
"116",21,"MMR1 2y",2,86.9284007580127,72822,3056,0.00124914802607462,86.6835677449021,87.1732337711233
"117",21,"MMR1 5y",1,94.4436344195767,82302,3174,0.000798503009653151,94.2871278296847,94.6001410094687
"118",21,"MMR1 5y",2,90.1310804667374,79188,3056,0.00105984512231779,89.9233508227631,90.3388101107117
"119",21,"MMR2 5y",1,88.3963937692887,82302,3174,0.00111637106274245,88.1775850409912,88.6152024975862
"120",21,"MMR2 5y",2,80.2596352982775,79188,3056,0.00141447895326074,79.9823974234384,80.5368731731166
"121",22,"MMR1 2y",1,92.1827196961705,75832,3159,0.00097482429826265,91.991654133711,92.37378525863
"122",22,"MMR1 2y",2,86.7012993810602,76421,3044,0.00122831866033194,86.4605489236351,86.9420498384852
"123",22,"MMR1 5y",1,94.4529777281296,85938,3159,0.000780809629436916,94.29993904076,94.6060164154992
"124",22,"MMR1 5y",2,90.3014621818401,83095,3044,0.0010266279339972,90.1002431067766,90.5026812569035
"125",22,"MMR2 5y",1,88.4917033209989,85938,3159,0.00108858959976947,88.2783397594441,88.7050668825537
"126",22,"MMR2 5y",2,80.7750165473254,83095,3044,0.00136704896079008,80.5070749510105,81.0429581436402
